Age Group,Sex,Year,Population
55 - 59,Females,2051,2195083
60 - 64,Females,2051,2129128
65 - 69,Females,2051,1899118
70 - 74,Females,2051,1663107
75 - 79,Females,2051,1498532
80 - 84,Females,2051,1431211
85 - 89,Females,2051,1092810
90 - 94,Females,2051,571682
95 - 99,Females,2051,178161
100 & over,Females,2051,28075
0 - 4,Females,2052,1491877
5 - 9,Females,2052,1541989
10 - 14,Females,2052,1554114
15 - 19,Females,2052,1582823
20 - 24,Females,2052,1742113
25 - 29,Females,2052,1851289
30 - 34,Females,2052,2070460
35 - 39,Females,2052,2233016
40 - 44,Females,2052,2308670
45 - 49,Females,2052,2219517
50 - 54,Females,2052,2202302
55 - 59,Females,2052,2197086
60 - 64,Females,2052,2150104
65 - 69,Females,2052,1933624
70 - 74,Females,2052,1710129
75 - 79,Females,2052,1466443
80 - 84,Females,2052,1423347
85 - 89,Females,2052,1108195
90 - 94,Females,2052,597123
95 - 99,Females,2052,185337
100 & over,Females,2052,28255
0 - 4,Females,2053,1484066
5 - 9,Females,2053,1541393
10 - 14,Females,2053,1559171
15 - 19,Females,2053,1587377
20 - 24,Females,2053,1743846
25 - 29,Females,2053,1855087
30 - 34,Females,2053,2043904
35 - 39,Females,2053,2216247
40 - 44,Females,2053,2306807
45 - 49,Females,2053,2242670
50 - 54,Females,2053,2192360
55 - 59,Females,2053,2200355
60 - 64,Females,2053,2153190
65 - 69,Females,2053,1974955
70 - 74,Females,2053,1754786
75 - 79,Females,2053,1452363
80 - 84,Females,2053,1406700
85 - 89,Females,2053,1117898
90 - 94,Females,2053,621639
95 - 99,Females,2053,193795
100 & over,Females,2053,28872
0 - 4,Females,2054,1475863
5 - 9,Females,2054,1539126
10 - 14,Females,2054,1563362
15 - 19,Females,2054,1592425
20 - 24,Females,2054,1745934
25 - 29,Females,2054,1859568
30 - 34,Females,2054,2020275
35 - 39,Females,2054,2202751
40 - 44,Females,2054,2301602
45 - 49,Females,2054,2255918
50 - 54,Females,2054,2189444
55 - 59,Females,2054,2198824
60 - 64,Females,2054,2162619
65 - 69,Females,2054,2012271
70 - 74,Females,2054,1777317
75 - 79,Females,2054,1472371
80 - 84,Females,2054,1380226
85 - 89,Females,2054,1123990
90 - 94,Females,2054,645934
95 - 99,Females,2054,202862
100 & over,Females,2054,29767
0 - 4,Females,2055,1467565
5 - 9,Females,2055,1535247
10 - 14,Females,2055,1566516
15 - 19,Females,2055,1597815
20 - 24,Females,2055,1748500
25 - 29,Females,2055,1862628
30 - 34,Females,2055,2001694
35 - 39,Females,2055,2186716
40 - 44,Females,2055,2292554
45 - 49,Females,2055,2273623
50 - 54,Females,2055,2193040
55 - 59,Females,2055,2194613
60 - 64,Females,2055,2160517
65 - 69,Females,2055,2042293
70 - 74,Females,2055,1797618
75 - 79,Females,2055,1510320
80 - 84,Females,2055,1357710
85 - 89,Females,2055,1122324
90 - 94,Females,2055,668622
95 - 99,Females,2055,212501
100 & over,Females,2055,30562
0 - 4,Females,2056,1459503
5 - 9,Females,2056,1529842
10 - 14,Females,2056,1568539
15 - 19,Females,2056,1603379
20 - 24,Females,2056,1751650
25 - 29,Females,2056,1864757
30 - 34,Females,2056,1992607
35 - 39,Females,2056,2158866
40 - 44,Females,2056,2282309
45 - 49,Females,2056,2296609
50 - 54,Females,2056,2198996
55 - 59,Females,2056,2189668
60 - 64,Females,2056,2152965
65 - 69,Females,2056,2071094
70 - 74,Females,2056,1821444
75 - 79,Females,2056,1553680
80 - 84,Females,2056,1324505
85 - 89,Females,2056,1128198
90 - 94,Females,2056,685818
95 - 99,Females,2056,223299
100 & over,Females,2056,31808
0 - 4,Females,2057,1451946
5 - 9,Females,2057,1523020
10 - 14,Females,2057,1569388
15 - 19,Females,2057,1608901
20 - 24,Females,2057,1755513
25 - 29,Females,2057,1866459
30 - 34,Females,2057,1981248
35 - 39,Females,2057,2141022
40 - 44,Females,2057,2263752
45 - 49,Females,2057,2315824
50 - 54,Females,2057,2209834
55 - 59,Females,2057,2174997
60 - 64,Females,2057,2155415
65 - 69,Females,2057,2092005
70 - 74,Females,2057,1855367
75 - 79,Females,2057,1598458
80 - 84,Females,2057,1298143
85 - 89,Females,2057,1124576
90 - 94,Females,2057,698117
95 - 99,Females,2057,235164
100 & over,Females,2057,33465
0 - 4,Females,2058,1445131
5 - 9,Females,2058,1515249
10 - 14,Females,2058,1568806
15 - 19,Females,2058,1613964
20 - 24,Females,2058,1760058
25 - 29,Females,2058,1868214
30 - 34,Females,2058,1985100
35 - 39,Females,2058,2114664
40 - 44,Females,2058,2247181
45 - 49,Females,2058,2314067
50 - 54,Females,2058,2232997
55 - 59,Females,2058,2165479
60 - 64,Females,2058,2159043
65 - 69,Females,2058,2095553
70 - 74,Females,2058,1895869
75 - 79,Females,2058,1640957
80 - 84,Females,2058,1287814
85 - 89,Females,2058,1113612
90 - 94,Females,2058,706927
95 - 99,Females,2058,246631
100 & over,Females,2058,35407
0 - 4,Females,2059,1439271
5 - 9,Females,2059,1507085
10 - 14,Females,2059,1566552
15 - 19,Females,2059,1618163
20 - 24,Females,2059,1765112
25 - 29,Females,2059,1870323
30 - 34,Females,2059,1989604
35 - 39,Females,2059,2091242
40 - 44,Females,2059,2233861
45 - 49,Females,2059,2309011
50 - 54,Females,2059,2246294
55 - 59,Females,2059,2162929
60 - 64,Females,2059,2157963
65 - 69,Females,2059,2105302
70 - 74,Females,2059,1932405
75 - 79,Females,2059,1663048
80 - 84,Females,2059,1308064
85 - 89,Females,2059,1094816
90 - 94,Females,2059,713913
95 - 99,Females,2059,257979
100 & over,Females,2059,37448
0 - 4,Females,2060,1434454
5 - 9,Females,2060,1498825
10 - 14,Females,2060,1562691
15 - 19,Females,2060,1621325
20 - 24,Females,2060,1770517
25 - 29,Females,2060,1872910
30 - 34,Females,2060,1992682
35 - 39,Females,2060,2072838
40 - 44,Females,2060,2218018
45 - 49,Females,2060,2300141
50 - 54,Females,2060,2263994
55 - 59,Females,2060,2166786
60 - 64,Females,2060,2154214
65 - 69,Females,2060,2103826
70 - 74,Females,2060,1962045
75 - 79,Females,2060,1683437
80 - 84,Females,2060,1344381
85 - 89,Females,2060,1079178
90 - 94,Females,2060,715858
95 - 99,Females,2060,268520
100 & over,Females,2060,39525
0 - 4,Males,2022,1568276
5 - 9,Males,2022,1707638
10 - 14,Males,2022,1789255
15 - 19,Males,2022,1703618
20 - 24,Males,2022,1740839
25 - 29,Males,2022,1836278
30 - 34,Males,2022,1933496
35 - 39,Males,2022,1865668
40 - 44,Males,2022,1798188
45 - 49,Males,2022,1713834
50 - 54,Males,2022,1901068
55 - 59,Males,2022,1892533
60 - 64,Males,2022,1661598
65 - 69,Males,2022,1372227
70 - 74,Males,2022,1264199
75 - 79,Males,2022,1064194
80 - 84,Males,2022,634345
85 - 89,Males,2022,367817
90 - 94,Males,2022,140311
95 - 99,Males,2022,28064
100 & over,Males,2022,2586
0 - 4,Males,2023,1555337
5 - 9,Males,2023,1699648
10 - 14,Males,2023,1798745
15 - 19,Males,2023,1761118
20 - 24,Males,2023,1807379
25 - 29,Males,2023,1898591
30 - 34,Males,2023,1978361
35 - 39,Males,2023,1922683
40 - 44,Males,2023,1847200
45 - 49,Males,2023,1694911
50 - 54,Males,2023,1878389
55 - 59,Males,2023,1900182
60 - 64,Males,2023,1705316
65 - 69,Males,2023,1402175
70 - 74,Males,2023,1233102
75 - 79,Males,2023,1112987
80 - 84,Males,2023,654181
85 - 89,Males,2023,378919
90 - 94,Males,2023,142851
95 - 99,Males,2023,28063
100 & over,Males,2023,2523
0 - 4,Males,2024,1540171
5 - 9,Males,2024,1694182
10 - 14,Males,2024,1798882
15 - 19,Males,2024,1795141
20 - 24,Males,2024,1860880
