Year,Age,Sex,Population
2032,40-44,persons,4344294
2032,45-49,persons,4013129
2032,50-54,persons,3719713
2032,55-59,persons,3419259
2032,60-64,persons,3693199
2032,65-69,persons,3579301
2032,70-74,persons,3015749
2032,75-79,persons,2345734
2032,80-84,persons,1942306
2032,85-89,persons,1315101
2032,90-94,persons,501704
2032,95-99,persons,133544
2033,0-4,male,1533271
2033,5-9,male,1554383
2033,10-14,male,1643125
2033,15-19,male,1809609
2033,20-24,male,2062880
2033,25-29,male,2121792
2033,30-34,male,2146472
2033,35-39,male,2169116
2033,40-44,male,2125594
2033,45-49,male,1976985
2033,50-54,male,1847569
2033,55-59,male,1652350
2033,60-64,male,1771334
2033,65-69,male,1730146
2033,70-74,male,1479829
2033,75-79,male,1119160
2033,80-84,male,847081
2033,85-89,male,585770
2033,90-94,male,197863
2033,95-99,male,45156
2033,0-4,female,1457828
2033,5-9,female,1475483
2033,10-14,female,1561826
2033,15-19,female,1719406
2033,20-24,female,1953802
2033,25-29,female,2007174
2033,30-34,female,2096989
2033,35-39,female,2205496
2033,40-44,female,2234434
2033,45-49,female,2116256
2033,50-54,female,1957558
2033,55-59,female,1722511
2033,60-64,female,1869915
2033,65-69,female,1861435
2033,70-74,female,1621454
2033,75-79,female,1282154
2033,80-84,female,1053282
2033,85-89,female,801457
2033,90-94,female,329686
2033,95-99,female,94906
2033,0-4,persons,2991099
2033,5-9,persons,3029866
2033,10-14,persons,3204951
2033,15-19,persons,3529015
2033,20-24,persons,4016682
2033,25-29,persons,4128966
2033,30-34,persons,4243461
2033,35-39,persons,4374612
2033,40-44,persons,4360028
2033,45-49,persons,4093241
2033,50-54,persons,3805127
2033,55-59,persons,3374861
2033,60-64,persons,3641249
2033,65-69,persons,3591581
2033,70-74,persons,3101283
2033,75-79,persons,2401314
2033,80-84,persons,1900363
2033,85-89,persons,1387227
2033,90-94,persons,527549
2033,95-99,persons,140062
2034,0-4,male,1535516
2034,5-9,male,1558901
2034,10-14,male,1618483
2034,15-19,male,1796905
2034,20-24,male,2056126
2034,25-29,male,2131780
2034,30-34,male,2161462
2034,35-39,male,2185509
2034,40-44,male,2144345
2034,45-49,male,2013744
2034,50-54,male,1862322
2034,55-59,male,1665641
2034,60-64,male,1733802
2034,65-69,male,1728942
2034,70-74,male,1517729
2034,75-79,male,1150143
2034,80-84,male,841860
2034,85-89,male,598530
2034,90-94,male,212470
2034,95-99,male,47045
2034,0-4,female,1459962
2034,5-9,female,1480011
2034,10-14,female,1538110
2034,15-19,female,1705677
2034,20-24,female,1948385
2034,25-29,female,2020453
2034,30-34,female,2093443
2034,35-39,female,2203195
2034,40-44,female,2243263
2034,45-49,female,2155298
2034,50-54,female,1981039
2034,55-59,female,1741768
2034,60-64,female,1829792
2034,65-69,female,1861996
2034,70-74,female,1668535
2034,75-79,female,1314269
2034,80-84,female,1047206
2034,85-89,female,820165
2034,90-94,female,350063
2034,95-99,female,98474
2034,0-4,persons,2995478
2034,5-9,persons,3038912
2034,10-14,persons,3156593
2034,15-19,persons,3502582
2034,20-24,persons,4004511
2034,25-29,persons,4152233
2034,30-34,persons,4254905
2034,35-39,persons,4388704
2034,40-44,persons,4387608
2034,45-49,persons,4169042
2034,50-54,persons,3843361
2034,55-59,persons,3407409
2034,60-64,persons,3563594
2034,65-69,persons,3590938
2034,70-74,persons,3186264
2034,75-79,persons,2464412
2034,80-84,persons,1889066
2034,85-89,persons,1418695
2034,90-94,persons,562533
2034,95-99,persons,145519
2035,0-4,male,1538262
2035,5-9,male,1562028
2035,10-14,male,1600287
2035,15-19,male,1780027
2035,20-24,male,2045676
2035,25-29,male,2145332
2035,30-34,male,2181914
2035,35-39,male,2197756
2035,40-44,male,2153636
2035,45-49,male,2044342
2035,50-54,male,1876528
2035,55-59,male,1697150
2035,60-64,male,1701597
2035,65-69,male,1716396
2035,70-74,male,1551819
2035,75-79,male,1187518
2035,80-84,male,842262
2035,85-89,male,604229
2035,90-94,male,225449
2035,95-99,male,48161
2035,0-4,female,1462573
2035,5-9,female,1483107
2035,10-14,female,1519455
2035,15-19,female,1689427
2035,20-24,female,1939095
2035,25-29,female,2038318
2035,30-34,female,2096521
2035,35-39,female,2198249
2035,40-44,female,2240016
2035,45-49,female,2186260
2035,50-54,female,2001303
2035,55-59,female,1782359
2035,60-64,female,1794978
2035,65-69,female,1849919
2035,70-74,female,1712947
2035,75-79,female,1354712
2035,80-84,female,1045308
2035,85-89,female,831952
2035,90-94,female,368634
2035,95-99,female,100746
2035,0-4,persons,3000835
2035,5-9,persons,3045135
2035,10-14,persons,3119742
2035,15-19,persons,3469454
2035,20-24,persons,3984771
2035,25-29,persons,4183650
2035,30-34,persons,4278435
2035,35-39,persons,4396005
2035,40-44,persons,4393652
2035,45-49,persons,4230602
2035,50-54,persons,3877831
2035,55-59,persons,3479509
2035,60-64,persons,3496575
2035,65-69,persons,3566315
2035,70-74,persons,3264766
2035,75-79,persons,2542230
2035,80-84,persons,1887570
2035,85-89,persons,1436181
2035,90-94,persons,594083
2035,95-99,persons,148907
2036,0-4,male,1541612
2036,5-9,male,1564257
2036,10-14,male,1591524
2036,15-19,male,1750175
2036,20-24,male,2034290
2036,25-29,male,2167771
2036,30-34,male,2202004
2036,35-39,male,2204559
2036,40-44,male,2157997
2036,45-49,male,2078525
2036,50-54,male,1896377
2036,55-59,male,1733005
2036,60-64,male,1655916
2036,65-69,male,1714166
2036,70-74,male,1573290
2036,75-79,male,1226339
2036,80-84,male,853716
2036,85-89,male,603800
2036,90-94,male,239738
2036,95-99,male,48065
2036,0-4,female,1465762
2036,5-9,female,1485279
2036,10-14,female,1510343
2036,15-19,female,1661257
2036,20-24,female,1928544
2036,25-29,female,2061585
2036,30-34,female,2102071
2036,35-39,female,2192564
2036,40-44,female,2230903
2036,45-49,female,2215918
2036,50-54,female,2025502
2036,55-59,female,1830254
2036,60-64,female,1744643
2036,65-69,female,1848798
2036,70-74,female,1743820
2036,75-79,female,1399242
2036,80-84,female,1056017
2036,85-89,female,834840
2036,90-94,female,389484
2036,95-99,female,100761
2036,0-4,persons,3007374
2036,5-9,persons,3049536
2036,10-14,persons,3101867
